roll,name,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
01,Ananya Shah,4,4,3,3,6,5,7,6,4,16
02,Kabir Iyer,3,3,4,4,5,6,8,7,4,13
03,Diya Nair,3,3,4,3,5,6,7,7,3,11
04,Arjun Patel,3,3,4,5,5,4,8,7,,18
05,Meera Joshi,4,4,4,5,6,4,7,7,4,15
06,Ishaan Reddy,3,4,4,5,5,6,8,6,4,18
07,Sara Khan,4,3,3,3,5,4,8,6,6,13
08,Vikram Bose,4,4,4,4,5,5,6,6,4,18
09,Zara Ali,3,3,5,4,6,4,7,5,5,13
10,Rohan Desai,3,4,3,4,6,4,6,8,4,17
11,Neha Kulkarni,3,3,3,4,4,6,5,7,,13
12,Aditya Rao,4,3,3,4,5,4,8,6,2,14
13,Priya Menon,3,4,3,4,4,5,7,7,6,17
14,Kunal Gupta,4,4,4,3,5,5,5,6,5,12
15,Aisha Rahman,3,3,4,3,6,4,7,6,2,15
16,Dev Sharma,3,3,3,3,4,5,7,8,6,19
17,Ravi Mehta,3,4,4,4,5,6,7,6,3,16
18,Sneha Pillai,3,3,3,4,5,5,7,6,4,15
19,Yash Jain,3,3,4,3,5,4,5,6,3,13
20,Fatima Noor,3,3,3,4,4,6,8,7,4,15
21,Harsh Vardhan,3,3,4,4,4,4,7,6,4,18
22,Lavanya Iyer,3,3,5,4,4,5,5,6,5,16
23,Mohit Agarwal,3,3,4,4,4,5,5,6,3,18
24,Nisha Bansal,3,4,3,4,5,5,7,6,2,12
25,Omkar Kulkarni,3,4,4,5,5,4,7,7,5,15
26,Pooja Singh,3,3,5,3,5,5,8,7,6,18
27,Reyansh Kapoor,3,3,4,3,5,5,8,7,5,12
28,Tanvi Ghosh,3,4,3,4,4,4,8,8,,12
29,Uday Chauhan,3,3,4,4,5,5,5,7,6,17
30,Veda Srinivasan,3,3,4,3,6,5,7,6,6,17
