roll,name,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
01,Ananya Shah,3,4,5,3,5,5,7,7,3,11
02,Kabir Iyer,4,3,5,3,5,5,6,8,7,11
03,Diya Nair,3,3,5,4,4,5,5,6,5,15
04,Arjun Patel,3,3,3,4,4,4,7,7,6,12
05,Meera Joshi,4,4,3,3,5,5,8,6,7,16
06,Ishaan Reddy,3,3,5,5,5,5,5,6,7,14
07,Sara Khan,3,3,4,4,5,5,7,7,5,14
08,Vikram Bose,3,3,3,4,6,5,6,6,5,19
09,Zara Ali,4,3,5,3,5,6,7,6,4,15
10,Rohan Desai,4,3,5,5,6,5,7,7,5,14
11,Neha Kulkarni,3,4,4,3,5,5,6,6,5,16
12,Aditya Rao,3,3,3,3,4,5,7,7,7,18
13,Priya Menon,3,4,4,3,4,4,7,6,3,16
14,Kunal Gupta,3,3,3,4,4,4,7,6,4,15
15,Aisha Rahman,3,3,4,3,4,6,7,6,6,18
16,Dev Sharma,3,3,3,4,4,5,7,7,3,19
17,Ravi Mehta,3,3,1,2,5,5,6,6,3,14
18,Sneha Pillai,4,3,3,4,5,5,6,7,2,13
19,Yash Jain,4,4,3,5,5,6,7,6,4,11
20,Fatima Noor,4,3,5,5,5,4,7,8,6,15
21,Harsh Vardhan,3,3,3,4,5,4,5,7,4,15
22,Lavanya Iyer,3,4,5,3,4,5,8,7,4,13
23,Mohit Agarwal,3,4,5,4,6,5,6,8,3,17
24,Nisha Bansal,3,3,5,3,5,5,7,6,4,13
25,Omkar Kulkarni,4,3,5,5,4,5,5,5,2,18
26,Pooja Singh,4,4,4,4,5,5,7,6,2,13
27,Reyansh Kapoor,4,3,5,4,4,5,7,5,6,12
28,Tanvi Ghosh,3,4,3,3,6,5,6,6,3,17
29,Uday Chauhan,3,4,4,5,6,4,6,6,3,16
30,Veda Srinivasan,3,3,5,3,5,5,6,5,7,19
